benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
401.bzip2,64kB,32kB,1MB,2,2,1,64,1018,4414477,2734828,1.3265
401.bzip2,64kB,32kB,2MB,2,2,1,64,1018,4414477,2356817,1.2887
401.bzip2,64kB,32kB,4MB,2,2,1,64,1018,4414477,2179763,1.271
401.bzip2,64kB,64kB,1MB,2,2,1,64,968,4414477,2734807,1.3265
401.bzip2,64kB,64kB,2MB,2,2,1,64,968,4414477,2356775,1.2887
401.bzip2,64kB,64kB,4MB,2,2,1,64,968,4414477,2179664,1.271
401.bzip2,64kB,128kB,1MB,2,2,1,64,957,4414477,2734771,1.3265
401.bzip2,64kB,128kB,2MB,2,2,1,64,957,4414477,2356710,1.2887
401.bzip2,64kB,128kB,4MB,2,2,1,64,957,4414477,2179587,1.2709
401.bzip2,64kB,256kB,1MB,2,2,1,64,957,4414477,2734767,1.3265
401.bzip2,64kB,256kB,2MB,2,2,1,64,957,4414477,2356692,1.2887
401.bzip2,64kB,256kB,4MB,2,2,1,64,957,4414477,2179564,1.2709
401.bzip2,128kB,32kB,1MB,2,2,1,64,1018,3998073,2732417,1.3212
401.bzip2,128kB,32kB,2MB,2,2,1,64,1018,3998073,2354483,1.2834
401.bzip2,128kB,32kB,4MB,2,2,1,64,1018,3998073,2179766,1.266
401.bzip2,128kB,64kB,1MB,2,2,1,64,968,3998073,2732396,1.3212
401.bzip2,128kB,64kB,2MB,2,2,1,64,968,3998073,2354440,1.2834
401.bzip2,128kB,64kB,4MB,2,2,1,64,968,3998073,2179666,1.266
401.bzip2,128kB,128kB,1MB,2,2,1,64,957,3998073,2732361,1.3212
401.bzip2,128kB,128kB,2MB,2,2,1,64,957,3998073,2354376,1.2834
401.bzip2,128kB,128kB,4MB,2,2,1,64,957,3998073,2179590,1.2659
401.bzip2,128kB,256kB,1MB,2,2,1,64,957,3998073,2732357,1.3212
401.bzip2,128kB,256kB,2MB,2,2,1,64,957,3998073,2354358,1.2834
401.bzip2,128kB,256kB,4MB,2,2,1,64,957,3998073,2179567,1.2659
401.bzip2,256kB,32kB,1MB,2,2,1,64,1018,3518939,2716917,1.3139
