benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
401.bzip2,256kB,128kB,4MB,1,1,1,32,1781,5775561,4086896,1.478
401.bzip2,256kB,128kB,4MB,1,1,1,64,988,3613221,2173325,1.2607
401.bzip2,256kB,128kB,4MB,1,1,1,128,569,2581663,1216597,1.1526
401.bzip2,256kB,128kB,4MB,1,1,2,32,1781,5775561,4086934,1.478
401.bzip2,256kB,128kB,4MB,1,1,2,64,988,3613221,2173517,1.2607
401.bzip2,256kB,128kB,4MB,1,1,2,128,569,2581927,1216887,1.1527
401.bzip2,256kB,128kB,4MB,1,1,4,32,1781,5775561,4087337,1.4781
401.bzip2,256kB,128kB,4MB,1,1,4,64,988,3613221,2173788,1.2607
401.bzip2,256kB,128kB,4MB,1,1,4,128,569,2581172,1217016,1.1527
401.bzip2,256kB,128kB,4MB,1,1,8,32,1781,5775561,4088194,1.4781
401.bzip2,256kB,128kB,4MB,1,1,8,64,988,3613221,2174830,1.2609
401.bzip2,256kB,128kB,4MB,1,1,8,128,569,2581582,1217547,1.1527
401.bzip2,256kB,128kB,4MB,1,2,1,32,1735,5775561,4086828,1.478
401.bzip2,256kB,128kB,4MB,1,2,1,64,957,3613221,2173284,1.2607
401.bzip2,256kB,128kB,4MB,1,2,1,128,539,2581677,1216567,1.1526
401.bzip2,256kB,128kB,4MB,1,2,2,32,1735,5775561,4086878,1.478
401.bzip2,256kB,128kB,4MB,1,2,2,64,957,3613221,2173479,1.2607
401.bzip2,256kB,128kB,4MB,1,2,2,128,539,2581809,1216860,1.1527
401.bzip2,256kB,128kB,4MB,1,2,4,32,1735,5775561,4087281,1.4781
401.bzip2,256kB,128kB,4MB,1,2,4,64,957,3613221,2173749,1.2607
401.bzip2,256kB,128kB,4MB,1,2,4,128,539,2581252,1216989,1.1527
401.bzip2,256kB,128kB,4MB,1,2,8,32,1735,5775561,4088180,1.4781
401.bzip2,256kB,128kB,4MB,1,2,8,64,957,3613221,2174815,1.2609
401.bzip2,256kB,128kB,4MB,1,2,8,128,539,2581596,1217533,1.1527
401.bzip2,256kB,128kB,4MB,1,4,1,32,1735,5775561,4086804,1.478
401.bzip2,256kB,128kB,4MB,1,4,1,64,957,3613221,2173266,1.2607
401.bzip2,256kB,128kB,4MB,1,4,1,128,539,2581677,1216557,1.1526
