benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
456.hmmer,256kB,32kB,1MB,1,1,1,32,30100,145846,13933,1.0035
456.hmmer,256kB,32kB,1MB,1,1,1,64,22055,87702,7485,1.0021
456.hmmer,256kB,32kB,1MB,1,1,1,128,17835,63726,4148,1.0014
456.hmmer,256kB,32kB,1MB,1,1,2,32,30100,145846,13863,1.0035
456.hmmer,256kB,32kB,1MB,1,1,2,64,22055,87702,7442,1.0021
456.hmmer,256kB,32kB,1MB,1,1,2,128,17835,63726,4111,1.0014
456.hmmer,256kB,32kB,1MB,1,1,4,32,30100,145846,13482,1.0035
456.hmmer,256kB,32kB,1MB,1,1,4,64,22055,87702,7059,1.002
456.hmmer,256kB,32kB,1MB,1,1,4,128,17835,63730,3726,1.0014
456.hmmer,256kB,32kB,1MB,1,1,8,32,30100,145846,13482,1.0035
456.hmmer,256kB,32kB,1MB,1,1,8,64,22055,87702,7059,1.002
456.hmmer,256kB,32kB,1MB,1,1,8,128,17835,63730,3726,1.0014
456.hmmer,256kB,32kB,1MB,1,2,1,32,7674,145846,13574,1.0032
456.hmmer,256kB,32kB,1MB,1,2,1,64,4711,87702,7136,1.0018
456.hmmer,256kB,32kB,1MB,1,2,1,128,5277,63726,3805,1.0012
456.hmmer,256kB,32kB,1MB,1,2,2,32,7674,145846,13531,1.0032
456.hmmer,256kB,32kB,1MB,1,2,2,64,4711,87702,7110,1.0018
456.hmmer,256kB,32kB,1MB,1,2,2,128,5277,63726,3778,1.0012
456.hmmer,256kB,32kB,1MB,1,2,4,32,7674,145846,13482,1.0032
456.hmmer,256kB,32kB,1MB,1,2,4,64,4711,87702,7059,1.0018
456.hmmer,256kB,32kB,1MB,1,2,4,128,5277,63726,3726,1.0012
456.hmmer,256kB,32kB,1MB,1,2,8,32,7674,145846,13482,1.0032
456.hmmer,256kB,32kB,1MB,1,2,8,64,4711,87702,7059,1.0018
456.hmmer,256kB,32kB,1MB,1,2,8,128,5277,63726,3726,1.0012
456.hmmer,256kB,32kB,1MB,1,4,1,32,2467,145846,13494,1.0031
456.hmmer,256kB,32kB,1MB,1,4,1,64,1473,87702,7072,1.0018
456.hmmer,256kB,32kB,1MB,1,4,1,128,960,63727,3736,1.0011
456.hmmer,256kB,32kB,1MB,1,4,2,32,2467,145846,13483,1.0031
456.hmmer,256kB,32kB,1MB,1,4,2,64,1473,87702,7061,1.0018
456.hmmer,256kB,32kB,1MB,1,4,2,128,960,63727,3728,1.0011
456.hmmer,256kB,32kB,1MB,1,4,4,32,2467,145846,13482,1.0031
456.hmmer,256kB,32kB,1MB,1,4,4,64,1473,87702,7059,1.0018
456.hmmer,256kB,32kB,1MB,1,4,4,128,960,63727,3726,1.0011
456.hmmer,256kB,32kB,1MB,1,4,8,32,2467,145846,13482,1.0031
456.hmmer,256kB,32kB,1MB,1,4,8,64,1473,87702,7059,1.0018
456.hmmer,256kB,32kB,1MB,1,4,8,128,960,63727,3726,1.0011
456.hmmer,256kB,32kB,1MB,1,8,1,32,2427,145846,13496,1.0031
456.hmmer,256kB,32kB,1MB,1,8,1,64,1443,87702,7072,1.0018
456.hmmer,256kB,32kB,1MB,1,8,1,128,907,63726,3736,1.0011
456.hmmer,256kB,32kB,1MB,1,8,2,32,2427,145846,13483,1.0031
