benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
470.lbm,256kB,32kB,4MB,1,1,1,32,957,13874050,13850276,2.5515
470.lbm,256kB,32kB,4MB,1,1,1,64,607,7184219,7149521,1.8012
470.lbm,256kB,32kB,4MB,1,1,1,128,401,3857012,3798961,1.4262
470.lbm,256kB,32kB,4MB,1,1,2,32,957,13874050,13848513,2.5514
470.lbm,256kB,32kB,4MB,1,1,2,64,607,7184219,7148047,1.801
470.lbm,256kB,32kB,4MB,1,1,2,128,401,3857012,3797563,1.426
470.lbm,256kB,32kB,4MB,1,1,4,32,957,13874050,13848503,2.5514
470.lbm,256kB,32kB,4MB,1,1,4,64,607,7184219,7147892,1.801
470.lbm,256kB,32kB,4MB,1,1,4,128,401,3857012,3797542,1.426
470.lbm,256kB,32kB,4MB,1,1,8,32,957,13874050,13848503,2.5514
470.lbm,256kB,32kB,4MB,1,1,8,64,607,7184219,7147892,1.801
470.lbm,256kB,32kB,4MB,1,1,8,128,401,3857012,3797542,1.426
470.lbm,256kB,32kB,4MB,1,2,1,32,912,13874050,13850273,2.5515
470.lbm,256kB,32kB,4MB,1,2,1,64,575,7184219,7149518,1.8012
470.lbm,256kB,32kB,4MB,1,2,1,128,378,3857012,3798960,1.4262
470.lbm,256kB,32kB,4MB,1,2,2,32,912,13874050,13848510,2.5514
470.lbm,256kB,32kB,4MB,1,2,2,64,575,7184219,7148044,1.801
470.lbm,256kB,32kB,4MB,1,2,2,128,378,3857012,3797562,1.426
470.lbm,256kB,32kB,4MB,1,2,4,32,912,13874050,13848500,2.5513
470.lbm,256kB,32kB,4MB,1,2,4,64,575,7184219,7147889,1.801
470.lbm,256kB,32kB,4MB,1,2,4,128,378,3857012,3797541,1.426
470.lbm,256kB,32kB,4MB,1,2,8,32,912,13874050,13848500,2.5513
470.lbm,256kB,32kB,4MB,1,2,8,64,575,7184219,7147889,1.801
470.lbm,256kB,32kB,4MB,1,2,8,128,378,3857012,3797541,1.426
470.lbm,256kB,32kB,4MB,1,4,1,32,899,13874050,13850270,2.5515
470.lbm,256kB,32kB,4MB,1,4,1,64,565,7184219,7149518,1.8012
470.lbm,256kB,32kB,4MB,1,4,1,128,367,3857012,3798959,1.4262
470.lbm,256kB,32kB,4MB,1,4,2,32,899,13874050,13848507,2.5514
470.lbm,256kB,32kB,4MB,1,4,2,64,565,7184219,7148044,1.801
470.lbm,256kB,32kB,4MB,1,4,2,128,367,3857012,3797561,1.426
470.lbm,256kB,32kB,4MB,1,4,4,32,899,13874050,13848497,2.5513
470.lbm,256kB,32kB,4MB,1,4,4,64,565,7184219,7147889,1.801
470.lbm,256kB,32kB,4MB,1,4,4,128,367,3857012,3797540,1.426
470.lbm,256kB,32kB,4MB,1,4,8,32,899,13874050,13848497,2.5513
470.lbm,256kB,32kB,4MB,1,4,8,64,565,7184219,7147889,1.801
470.lbm,256kB,32kB,4MB,1,4,8,128,367,3857012,3797540,1.426
470.lbm,256kB,32kB,4MB,1,8,1,32,893,13874050,13850270,2.5515
470.lbm,256kB,32kB,4MB,1,8,1,64,561,7184219,7149517,1.8012
470.lbm,256kB,32kB,4MB,1,8,1,128,365,3857012,3798959,1.4262
470.lbm,256kB,32kB,4MB,1,8,2,32,893,13874050,13848507,2.5514
470.lbm,256kB,32kB,4MB,1,8,2,64,561,7184219,7148043,1.801
470.lbm,256kB,32kB,4MB,1,8,2,128,365,3857012,3797561,1.426
470.lbm,256kB,32kB,4MB,1,8,4,32,893,13874050,13848497,2.5513
470.lbm,256kB,32kB,4MB,1,8,4,64,561,7184219,7147888,1.801
470.lbm,256kB,32kB,4MB,1,8,4,128,365,3857012,3797540,1.426
470.lbm,256kB,32kB,4MB,1,8,8,32,893,13874050,13848497,2.5513
470.lbm,256kB,32kB,4MB,1,8,8,64,561,7184219,7147888,1.801
470.lbm,256kB,32kB,4MB,1,8,8,128,365,3857012,3797540,1.426
470.lbm,256kB,32kB,4MB,2,1,1,32,957,13854795,13849747,2.5512
470.lbm,256kB,32kB,4MB,2,1,1,64,607,7156845,7149353,1.8008
470.lbm,256kB,32kB,4MB,2,1,1,128,401,3804366,3798883,1.4255
470.lbm,256kB,32kB,4MB,2,1,2,32,957,13854795,13848589,2.5511
470.lbm,256kB,32kB,4MB,2,1,2,64,607,7156845,7148032,1.8007
470.lbm,256kB,32kB,4MB,2,1,2,128,401,3804366,3797552,1.4254
470.lbm,256kB,32kB,4MB,2,1,4,32,957,13854795,13848515,2.5511
470.lbm,256kB,32kB,4MB,2,1,4,64,607,7156845,7147892,1.8007
470.lbm,256kB,32kB,4MB,2,1,4,128,401,3804366,3797542,1.4254
470.lbm,256kB,32kB,4MB,2,1,8,32,957,13854795,13848504,2.5511
470.lbm,256kB,32kB,4MB,2,1,8,64,607,7156845,7147892,1.8007
470.lbm,256kB,32kB,4MB,2,1,8,128,401,3804366,3797542,1.4254
470.lbm,256kB,32kB,4MB,2,2,1,32,912,13854795,13849744,2.5512
470.lbm,256kB,32kB,4MB,2,2,1,64,575,7156845,7149350,1.8008
470.lbm,256kB,32kB,4MB,2,2,1,128,378,3804366,3798882,1.4255
