benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
429.mcf,256kB,32kB,4MB,1,1,1,32,576160,13392180,7665829,1.9342
429.mcf,256kB,32kB,4MB,1,1,1,64,511919,9605761,4422276,1.5636
429.mcf,256kB,32kB,4MB,1,1,1,128,464130,8366305,2366486,1.3426
429.mcf,256kB,32kB,4MB,1,1,2,32,576160,13392180,8107042,1.9783
429.mcf,256kB,32kB,4MB,1,1,2,64,511919,9605761,4465016,1.5679
429.mcf,256kB,32kB,4MB,1,1,2,128,464130,8366305,2265066,1.3325
429.mcf,256kB,32kB,4MB,1,1,4,32,576160,13392180,8179539,1.9856
429.mcf,256kB,32kB,4MB,1,1,4,64,511919,9605761,4407193,1.5621
429.mcf,256kB,32kB,4MB,1,1,4,128,464130,8366305,2206749,1.3266
429.mcf,256kB,32kB,4MB,1,1,8,32,576160,13392180,8203022,1.9879
429.mcf,256kB,32kB,4MB,1,1,8,64,511919,9605761,4419963,1.5634
429.mcf,256kB,32kB,4MB,1,1,8,128,464130,8366305,2210512,1.327
429.mcf,256kB,32kB,4MB,1,2,1,32,1990,13392180,7665822,1.9273
429.mcf,256kB,32kB,4MB,1,2,1,64,1527,9605761,4422267,1.5575
429.mcf,256kB,32kB,4MB,1,2,1,128,1143,8366305,2366482,1.3371
429.mcf,256kB,32kB,4MB,1,2,2,32,1990,13392180,8107035,1.9714
429.mcf,256kB,32kB,4MB,1,2,2,64,1527,9605761,4465007,1.5618
429.mcf,256kB,32kB,4MB,1,2,2,128,1143,8366305,2265058,1.3269
429.mcf,256kB,32kB,4MB,1,2,4,32,1990,13392180,8179519,1.9787
429.mcf,256kB,32kB,4MB,1,2,4,64,1527,9605761,4407189,1.556
429.mcf,256kB,32kB,4MB,1,2,4,128,1143,8366305,2206744,1.3211
429.mcf,256kB,32kB,4MB,1,2,8,32,1990,13392180,8203015,1.981
429.mcf,256kB,32kB,4MB,1,2,8,64,1527,9605761,4419958,1.5573
429.mcf,256kB,32kB,4MB,1,2,8,128,1143,8366305,2210509,1.3215
429.mcf,256kB,32kB,4MB,1,4,1,32,1160,13392180,7665783,1.9273
429.mcf,256kB,32kB,4MB,1,4,1,64,694,9605761,4422249,1.5575
429.mcf,256kB,32kB,4MB,1,4,1,128,441,8366305,2366460,1.337
429.mcf,256kB,32kB,4MB,1,4,2,32,1160,13392180,8107000,1.9714
429.mcf,256kB,32kB,4MB,1,4,2,64,694,9605761,4464984,1.5618
429.mcf,256kB,32kB,4MB,1,4,2,128,441,8366305,2265032,1.3269
429.mcf,256kB,32kB,4MB,1,4,4,32,1160,13392180,8179488,1.9787
429.mcf,256kB,32kB,4MB,1,4,4,64,694,9605761,4407174,1.556
429.mcf,256kB,32kB,4MB,1,4,4,128,441,8366305,2206729,1.3211
429.mcf,256kB,32kB,4MB,1,4,8,32,1160,13392180,8202981,1.981
429.mcf,256kB,32kB,4MB,1,4,8,64,694,9605761,4419945,1.5573
429.mcf,256kB,32kB,4MB,1,4,8,128,441,8366305,2210498,1.3215
429.mcf,256kB,32kB,4MB,1,8,1,32,1160,13392180,7665795,1.9273
429.mcf,256kB,32kB,4MB,1,8,1,64,693,9605761,4422253,1.5575
429.mcf,256kB,32kB,4MB,1,8,1,128,441,8366305,2366461,1.337
429.mcf,256kB,32kB,4MB,1,8,2,32,1160,13392180,8107023,1.9714
429.mcf,256kB,32kB,4MB,1,8,2,64,693,9605761,4464997,1.5618
429.mcf,256kB,32kB,4MB,1,8,2,128,441,8366305,2265035,1.3269
429.mcf,256kB,32kB,4MB,1,8,4,32,1160,13392180,8179505,1.9787
429.mcf,256kB,32kB,4MB,1,8,4,64,693,9605761,4407189,1.556
429.mcf,256kB,32kB,4MB,1,8,4,128,441,8366305,2206732,1.3211
