benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
458.sjeng,256kB,256kB,4MB,1,1,1,32,3930,16778684,16662967,2.8677
458.sjeng,256kB,256kB,4MB,1,1,1,64,2548,8510894,8369003,1.9391
458.sjeng,256kB,256kB,4MB,1,1,1,128,1750,4389895,4223316,1.475
458.sjeng,256kB,256kB,4MB,1,1,2,32,3930,16778684,16661144,2.8675
458.sjeng,256kB,256kB,4MB,1,1,2,64,2548,8510894,8366795,1.9388
458.sjeng,256kB,256kB,4MB,1,1,2,128,1750,4389895,4221022,1.4748
458.sjeng,256kB,256kB,4MB,1,1,4,32,3930,16778684,16660375,2.8674
458.sjeng,256kB,256kB,4MB,1,1,4,64,2548,8510894,8365572,1.9387
458.sjeng,256kB,256kB,4MB,1,1,4,128,1750,4389895,4219855,1.4747
458.sjeng,256kB,256kB,4MB,1,1,8,32,3930,16778684,16660262,2.8674
458.sjeng,256kB,256kB,4MB,1,1,8,64,2548,8510894,8365012,1.9387
458.sjeng,256kB,256kB,4MB,1,1,8,128,1750,4389895,4219399,1.4746
458.sjeng,256kB,256kB,4MB,1,2,1,32,2930,16778684,16662935,2.8677
458.sjeng,256kB,256kB,4MB,1,2,1,64,1609,8510894,8368971,1.939
458.sjeng,256kB,256kB,4MB,1,2,1,128,904,4389895,4223293,1.475
458.sjeng,256kB,256kB,4MB,1,2,2,32,2930,16778684,16661120,2.8675
458.sjeng,256kB,256kB,4MB,1,2,2,64,1609,8510894,8366772,1.9388
458.sjeng,256kB,256kB,4MB,1,2,2,128,904,4389895,4221004,1.4748
458.sjeng,256kB,256kB,4MB,1,2,4,32,2930,16778684,16660357,2.8674
458.sjeng,256kB,256kB,4MB,1,2,4,64,1609,8510894,8365555,1.9387
458.sjeng,256kB,256kB,4MB,1,2,4,128,904,4389895,4219837,1.4747
458.sjeng,256kB,256kB,4MB,1,2,8,32,2930,16778684,16660242,2.8674
458.sjeng,256kB,256kB,4MB,1,2,8,64,1609,8510894,8364996,1.9386
458.sjeng,256kB,256kB,4MB,1,2,8,128,904,4389895,4219385,1.4746
458.sjeng,256kB,256kB,4MB,1,4,1,32,2930,16778684,16662932,2.8677
458.sjeng,256kB,256kB,4MB,1,4,1,64,1609,8510894,8368967,1.939
458.sjeng,256kB,256kB,4MB,1,4,1,128,903,4389895,4223290,1.475
